Date,StockCode,Quantity,Revenue,TransactionsCount,Category,Description,AvgUnitPrice,DayOfWeek,Month,Quarter,DayOfMonth,DayOfYear,IsWeekend,Sin_DayOfWeek,Cos_DayOfWeek,Sin_Month,Cos_Month,IsBlackFriday,IsCyberWeek,IsChristmasRush,IsNewYear,IsSummerSale,IsPromotion,Lag_1,Lag_7,Lag_14,Lag_28,RollingMean_7,RollingStd_7,RollingMean_14,RollingStd_14,RollingMean_28,RollingStd_28,RollingMin_7,RollingMax_7,PrevMonthDemand,DemandVolatility_7,Cat_Cookware,Cat_Electronics,Cat_Home___Kitchen,Cat_Lighting,Cat_Luggage___Travel,Cat_Office,Cat_Sports___Outdoors,Cat_Wellness,LogUnitPrice
2023-01-29,SKU_1001,35,437.5,18,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,6,1,1,29,29,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,48.0,37.0,8.0,29.0,25.571428571428573,14.489733639801004,21.714285714285715,11.74359774141161,20.464285714285715,9.777078798970061,8.0,48.0,573.0,0.566637406782059,0,0,1,0,0,0,0,0,2.591068898766282
2023-01-30,SKU_1001,28,350.0,12,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,0,1,1,30,30,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,35.0,20.0,17.0,15.0,25.285714285714285,14.24446425474689,23.642857142857142,11.533277223603164,20.678571428571427,10.033475714857484,8.0,48.0,608.0,0.5633401714656284,0,0,1,0,0,0,0,0,2.591068898766282
2023-01-31,SKU_1001,12,150.0,7,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,1,1,1,31,31,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,28.0,8.0,16.0,20.0,26.428571428571427,14.069555108544863,24.428571428571427,11.420051769479088,21.142857142857142,10.06171432898466,8.0,48.0,636.0,0.5323613432136217,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-01,SKU_1001,25,312.5,13,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,2,2,1,1,32,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,12.0,12.0,31.0,23.0,27.0,13.253930234714025,24.142857142857142,11.693898098891266,20.857142857142858,10.207891956768458,12.0,48.0,619.0,0.49088612317973307,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-02,SKU_1001,19,237.5,8,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,3,2,1,2,33,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,25.0,34.0,17.0,12.0,28.857142857142858,11.61075035514603,23.714285714285715,11.53208615077996,20.928571428571427,10.230414246812083,12.0,48.0,629.0,0.40235259565020054,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-03,SKU_1001,20,250.0,14,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,4,2,1,3,34,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,19.0,20.0,23.0,19.0,26.714285714285715,11.884363476353926,23.857142857142858,11.454640597102609,21.178571428571427,10.088693970566558,12.0,48.0,628.0,0.4448690545114634,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-04,SKU_1001,33,412.5,12,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,5,2,1,4,35,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,20.0,48.0,13.0,18.0,26.714285714285715,11.884363476353926,23.642857142857142,11.499880553608058,21.214285714285715,10.08246421546264,12.0,48.0,625.0,0.4448690545114634,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-05,SKU_1001,10,125.0,6,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,6,2,1,5,36,1,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,33.0,35.0,37.0,34.0,24.571428571428573,8.182443458550809,25.071428571428573,11.316864785417762,21.75,10.301474184327715,12.0,35.0,646.0,0.3330062842989288,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-06,SKU_1001,39,487.5,12,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,0,2,1,6,37,0,0.0,1.0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,10.0,28.0,20.0,12.0,21.0,8.326663997864534,23.142857142857142,11.42774722302723,20.892857142857142,10.242754569158688,10.0,33.0,637.0,0.396507620608968,0,0,1,0,0,0,0,0,2.591068898766282
2023-02-07,SKU_1001,27,337.5,16,Home & Kitchen,Vintage Ceramic Coffee Mug,12.344027397260273,1,2,1,7,38,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,39.0,12.0,8.0,21.0,22.571428571428573,10.596495377515827,24.5,12.132283696497858,21.857142857142858,10.637857921782052,10.0,39.0,658.0,0.46946477708909107,0,0,1,0,0,0,0,0,2.591068898766282
