InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,StoreRegion,Category
537634,SKU_1003,Ergonomic Memory Foam Chair Cushion,2,2024-02-23 21:58:08,29.95,CUST_01774,Germany,Region-East,Office
557599,SKU_1009,Heavy-Duty Canvas Travel Backpack,1,2024-10-18 17:15:54,55.0,CUST_01262,United Kingdom,Region-West,Luggage & Travel
502190,SKU_1001,Vintage Ceramic Coffee Mug,3,2023-02-04 11:15:34,12.5,CUST_01500,France,Region-West,Home & Kitchen
500677,SKU_1001,Vintage Ceramic Coffee Mug,2,2023-01-11 17:54:01,12.5,CUST_01634,Germany,Region-East,Home & Kitchen
522671,SKU_1002,Wireless Bluetooth Earbuds,8,2023-10-11 09:40:42,49.99,CUST_01066,United States,Region-North,Electronics
536886,SKU_1005,Insulated Stainless Water Bottle 32oz,1,2024-02-12 08:05:17,22.0,CUST_01334,United Kingdom,Region-East,Sports & Outdoors
540879,SKU_1002,Wireless Bluetooth Earbuds,4,2024-04-05 19:42:41,49.99,CUST_01606,United Kingdom,Region-North,Electronics
541637,SKU_1002,Wireless Bluetooth Earbuds,1,2024-04-14 20:32:36,49.99,CUST_01163,Australia,Region-East,Electronics
512785,SKU_1003,Ergonomic Memory Foam Chair Cushion,1,2023-06-23 09:32:59,29.95,CUST_01501,United Kingdom,Region-West,Office
502234,SKU_1007,Mechanical Gaming Keyboard RGB,3,2023-02-04 20:16:03,79.99,CUST_01417,United Kingdom,Region-West,Electronics
564917,SKU_1003,Ergonomic Memory Foam Chair Cushion,2,2024-12-15 20:48:09,26.95,CUST_01016,France,Region-West,Office
513894,SKU_1001,Vintage Ceramic Coffee Mug,1,2023-07-07 13:48:31,12.5,CUST_01448,United Kingdom,Region-North,Home & Kitchen
555401,SKU_1001,Vintage Ceramic Coffee Mug,1,2024-09-20 15:55:36,12.5,CUST_01361,Germany,Region-South,Home & Kitchen
564679,SKU_1005,Insulated Stainless Water Bottle 32oz,2,2024-12-13 11:46:47,22.0,CUST_01510,United Kingdom,Region-West,Sports & Outdoors
561504,SKU_1002,Wireless Bluetooth Earbuds,1,2024-11-25 17:10:01,39.99,CUST_01487,United Kingdom,Region-South,Electronics
534226,SKU_1002,Wireless Bluetooth Earbuds,2,2024-01-03 21:23:48,49.99,CUST_01009,Germany,Region-West,Electronics
518048,SKU_1001,Vintage Ceramic Coffee Mug,1,2023-08-16 19:48:09,12.5,CUST_01444,United Kingdom,Region-East,Home & Kitchen
533763,SKU_1005,Insulated Stainless Water Bottle 32oz,2,2023-12-29 13:05:33,22.0,CUST_01665,United Kingdom,Region-West,Sports & Outdoors
501824,SKU_1004,Organic Bamboo Bath Towel Set,4,2023-01-29 09:02:39,34.0,,United Kingdom,Region-East,Home & Kitchen
543167,SKU_1005,Insulated Stainless Water Bottle 32oz,2,2024-05-02 20:23:42,22.0,CUST_01297,France,Region-North,Sports & Outdoors
566548,SKU_1009,Heavy-Duty Canvas Travel Backpack,1,2024-12-21 18:23:29,49.5,CUST_01186,United Kingdom,Region-West,Luggage & Travel
566568,SKU_1010,Non-Stick Cast Iron Skillet 12-inch,1,2024-12-21 18:46:19,38.25,CUST_01459,Germany,Region-West,Cookware
520211,SKU_1001,Vintage Ceramic Coffee Mug,1,2023-09-10 18:53:02,12.5,CUST_01342,United Kingdom,Region-East,Home & Kitchen
550437,SKU_1005,Insulated Stainless Water Bottle 32oz,2,2024-07-25 08:16:42,22.0,CUST_01046,United Kingdom,Region-East,Sports & Outdoors
